     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:02     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24544
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11162   0.31104   0.11193
Visualizing ...
Generating html visualization ...
DONE
 00:01:28     1/1000     val        15/19          0.2%      1.00E-03    0.01406   0.03172   0.01409
 00:01:31     1/1000    train      120/140         0.2%      1.00E-03    0.01534   0.03081   0.01537
 00:01:33     1/1000     val        17/19          0.2%      1.00E-03    0.01054   0.02204   0.01057
 00:01:33     1/1000    train      130/140         0.2%      1.00E-03    0.01402   0.01147   0.01403
training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:01:37     2/1000    train        0/140         0.2%      1.00E-03    0.01356   0.01664   0.01358
 00:01:39     2/1000     val         0/19          0.2%      1.00E-03    0.01321   0.02222   0.01323
 00:01:41     2/1000    train       10/140         0.2%      1.00E-03    0.01151   0.00668   0.01152
 00:01:43     2/1000     val         2/19          0.2%      1.00E-03    0.01369   0.01248   0.01371
 00:01:43     2/1000    train       20/140         0.2%      1.00E-03    0.01300   0.01732   0.01302
 00:01:48     2/1000     val         4/19          0.2%      1.00E-03    0.01346   0.03169   0.01349
 00:01:48     2/1000    train       30/140         0.2%      1.00E-03    0.01655   0.02294   0.01657
 00:01:50     2/1000    train       40/140         0.2%      1.00E-03    0.01136   0.02655   0.01139
 00:01:52     2/1000     val         6/19          0.2%      1.00E-03    0.01187   0.02234   0.01189
 00:01:52     2/1000    train       50/140         0.2%      1.00E-03    0.01423   0.01185   0.01424
 00:01:57     2/1000     val         8/19          0.2%      1.00E-03    0.01198   0.01491   0.01199
 00:01:57     2/1000    train       60/140         0.2%      1.00E-03    0.01163   0.01338   0.01164
 00:01:59     2/1000    train       70/140         0.3%      1.00E-03    0.01400   0.01179   0.01401
 00:02:01     2/1000     val        10/19          0.3%      1.00E-03    0.01199   0.02864   0.01202
 00:02:01     2/1000    train       80/140         0.3%      1.00E-03    0.01466   0.04974   0.01471
 00:02:05     2/1000     val        12/19          0.3%      1.00E-03    0.01544   0.04338   0.01548
 00:02:05     2/1000    train       90/140         0.3%      1.00E-03    0.01368   0.03946   0.01372
 00:02:08     2/1000    train      100/140         0.3%      1.00E-03    0.01333   0.03378   0.01337
 00:02:10     2/1000     val        14/19          0.3%      1.00E-03    0.01293   0.04062   0.01297
 00:02:10     2/1000    train      110/140         0.3%      1.00E-03    0.01256   0.00837   0.01256
 00:02:14     2/1000     val        16/19          0.3%      1.00E-03    0.01339   0.02228   0.01341
 00:02:14     2/1000    train      120/140         0.3%      1.00E-03    0.01387   0.02260   0.01389
 00:02:16     2/1000    train      130/140         0.3%      1.00E-03    0.01411   0.02054   0.01413
 00:02:18     2/1000     val        18/19          0.3%      1.00E-03    0.01266   0.01431   0.01267
training run exp-model_v1-fc-cd-vae-1e-3
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:02:21     3/1000    train        0/140         0.3%      1.00E-03    0.01331   0.00874   0.01331
 00:02:23     3/1000     val         1/19          0.3%      1.00E-03    0.01400   0.01067   0.01402
