     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:01     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24060
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11131   0.36914   0.11135
Visualizing ...
Generating html visualization ...
DONE
 00:01:24     1/1000     val        15/19          0.2%      1.00E-03    0.01148   4.82142   0.01196
 00:01:26     1/1000    train      120/140         0.2%      1.00E-03    0.01334   6.09518   0.01395
 00:01:28     1/1000     val        17/19          0.2%      1.00E-03    0.00840   2.64090   0.00866
 00:01:28     1/1000    train      130/140         0.2%      1.00E-03    0.01153   5.60578   0.01209
training run exp-model_v1-fc-cd-vae
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:01:32     2/1000    train        0/140         0.2%      1.00E-03    0.01042   5.28734   0.01095
 00:01:33     2/1000     val         0/19          0.2%      1.00E-03    0.01101   4.24599   0.01143
 00:01:34     2/1000    train       10/140         0.2%      1.00E-03    0.00883   5.89953   0.00942
 00:01:37     2/1000     val         2/19          0.2%      1.00E-03    0.01037   6.13320   0.01098
 00:01:37     2/1000    train       20/140         0.2%      1.00E-03    0.01054   5.99193   0.01114
 00:01:41     2/1000     val         4/19          0.2%      1.00E-03    0.01144   4.06922   0.01185
 00:01:41     2/1000    train       30/140         0.2%      1.00E-03    0.01420   4.93567   0.01469
 00:01:43     2/1000    train       40/140         0.2%      1.00E-03    0.00897   4.88662   0.00945
 00:01:45     2/1000     val         6/19          0.2%      1.00E-03    0.01004   7.19915   0.01076
 00:01:45     2/1000    train       50/140         0.2%      1.00E-03    0.01123   5.98740   0.01183
 00:01:48     2/1000     val         8/19          0.2%      1.00E-03    0.01130   2.51058   0.01155
 00:01:48     2/1000    train       60/140         0.2%      1.00E-03    0.00979   5.86056   0.01038
 00:01:50     2/1000    train       70/140         0.3%      1.00E-03    0.00982   4.53639   0.01028
 00:01:52     2/1000     val        10/19          0.3%      1.00E-03    0.01091   3.27342   0.01124
 00:01:53     2/1000    train       80/140         0.3%      1.00E-03    0.01288   5.44839   0.01343
 00:01:57     2/1000     val        12/19          0.3%      1.00E-03    0.01364   4.53158   0.01410
 00:01:57     2/1000    train       90/140         0.3%      1.00E-03    0.01056   5.27534   0.01109
 00:01:59     2/1000    train      100/140         0.3%      1.00E-03    0.01027   7.29488   0.01100
