./train_v1.py --exp_suffix fc-cd-vae-1e-5 --data_dir ../../data/PartNetShapeData-Chair/train --val_data_dir ../../data/PartNetShapeData-Chair/val --num_point 2048 --decoder_type fc --loss_type cd --model_version model_v1 --kldiv_loss_weight 1e-5 --probabilistic --overwrite

Random Seed: 3124256514
Using device: cuda:0

[PartNetPartDataset 4489] data_dir: ../../data/PartNetShapeData-Chair/train, num_point: 2048
[PartNetPartDataset 617] data_dir: ../../data/PartNetShapeData-Chair/val, num_point: 2048
Using FCDecoder-NoBN!

Network(
  (encoder): PointNet(
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 256, kernel_size=(1,), stride=(1,))
    (conv4): Conv1d(256, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn4): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc1): Linear(in_features=1024, out_features=1024, bias=True)
    (bn5): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc2): Linear(in_features=1024, out_features=128, bias=True)
    (bn6): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (sample_encoder): Sampler(
    (mlp1): Linear(in_features=128, out_features=256, bias=True)
    (mlp2mu): Linear(in_features=256, out_features=128, bias=True)
    (mlp2var): Linear(in_features=256, out_features=128, bias=True)
  )
  (sample_decoder): SampleDecoder(
    (mlp1): Linear(in_features=128, out_features=256, bias=True)
    (mlp2): Linear(in_features=256, out_features=128, bias=True)
  )
  (decoder): FCDecoder(
    (mlp1): Linear(in_features=128, out_features=1024, bias=True)
    (mlp2): Linear(in_features=1024, out_features=1024, bias=True)
    (mlp3): Linear(in_features=1024, out_features=6144, bias=True)
  )
)

training run exp-model_v1-fc-cd-vae-1e-5
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:01     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24012
Saving checkpoint ...... 
DONE
 00:00:04     0/1000     val         0/19          0.0%      1.00E-03    0.11129   0.37801   0.11130
Visualizing ...
Generating html visualization ...
DONE
 00:00:16     0/1000    train       10/140         0.0%      1.00E-03    0.01800   4.65115   0.01805
 00:00:17     0/1000     val         2/19          0.0%      1.00E-03    0.01683  23.14292   0.01706
 00:00:18     0/1000    train       20/140         0.0%      1.00E-03    0.01640   4.51046   0.01644
 00:00:21     0/1000     val         4/19          0.0%      1.00E-03    0.01495  17.61683   0.01513
 00:00:22     0/1000    train       30/140         0.0%      1.00E-03    0.01178   7.44314   0.01185
 00:00:23     0/1000    train       40/140         0.0%      1.00E-03    0.01362  10.25704   0.01372
 00:00:26     0/1000     val         6/19          0.0%      1.00E-03    0.01216   8.17045   0.01225
 00:00:26     0/1000    train       50/140         0.0%      1.00E-03    0.01179  12.93104   0.01192
 00:00:30     0/1000     val         8/19          0.0%      1.00E-03    0.01187  11.28941   0.01198
 00:00:30     0/1000    train       60/140         0.0%      1.00E-03    0.01030  14.74299   0.01045
 00:00:32     0/1000    train       70/140         0.1%      1.00E-03    0.01179  16.13880   0.01196
 00:00:34     0/1000     val        10/19          0.1%      1.00E-03    0.01084  22.35680   0.01106
 00:00:35     0/1000    train       80/140         0.1%      1.00E-03    0.00965  19.00424   0.00984
 00:00:38     0/1000     val        12/19          0.1%      1.00E-03    0.01722  19.31172   0.01741
 00:00:38     0/1000    train       90/140         0.1%      1.00E-03    0.01114  17.92958   0.01132
 00:00:41     0/1000    train      100/140         0.1%      1.00E-03    0.01155  19.39170   0.01174
 00:00:42     0/1000     val        14/19          0.1%      1.00E-03    0.01085  35.68456   0.01121
 00:00:43     0/1000    train      110/140         0.1%      1.00E-03    0.01107  22.81476   0.01130
 00:00:47     0/1000     val        16/19          0.1%      1.00E-03    0.01211  11.36992   0.01222
 00:00:47     0/1000    train      120/140         0.1%      1.00E-03    0.00991  19.77475   0.01011
 00:00:49     0/1000    train      130/140         0.1%      1.00E-03    0.01003  21.92542   0.01025
 00:00:50     0/1000     val        18/19          0.1%      1.00E-03    0.01017  34.27541   0.01051
training run exp-model_v1-fc-cd-vae-1e-5
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:52     1/1000    train        0/140         0.1%      1.00E-03    0.00943  23.92716   0.00967
 00:00:56     1/1000     val         1/19          0.1%      1.00E-03    0.01297  27.71208   0.01325
 00:00:56     1/1000    train       10/140         0.1%      1.00E-03    0.01335  17.75098   0.01352
 00:00:58     1/1000    train       20/140         0.1%      1.00E-03    0.00964  18.53666   0.00982
 00:01:00     1/1000     val         3/19          0.1%      1.00E-03    0.01129  19.55674   0.01148
 00:01:02     1/1000    train       30/140         0.1%      1.00E-03    0.01036  20.70739   0.01057
 00:01:04     1/1000     val         5/19          0.1%      1.00E-03    0.01041  32.80452   0.01073
 00:01:04     1/1000    train       40/140         0.1%      1.00E-03    0.00964  22.81689   0.00987
 00:01:06     1/1000    train       50/140         0.1%      1.00E-03    0.01102  22.22584   0.01125
 00:01:07     1/1000     val         7/19          0.1%      1.00E-03    0.01099  39.01628   0.01138
 00:01:10     1/1000    train       60/140         0.1%      1.00E-03    0.00852  23.69004   0.00876
 00:01:12     1/1000     val         9/19          0.2%      1.00E-03    0.01116  11.22588   0.01127
 00:01:12     1/1000    train       70/140         0.2%      1.00E-03    0.01110  22.13340   0.01132
 00:01:14     1/1000    train       80/140         0.2%      1.00E-03    0.01164  20.31710   0.01185
 00:01:15     1/1000     val        11/19          0.2%      1.00E-03    0.00969  33.48154   0.01002
 00:01:17     1/1000    train       90/140         0.2%      1.00E-03    0.01011  20.71006   0.01031
 00:01:19     1/1000     val        13/19          0.2%      1.00E-03    0.01077  14.02200   0.01091
 00:01:20     1/1000    train      100/140         0.2%      1.00E-03    0.01006  23.71718   0.01029
 00:01:22     1/1000    train      110/140         0.2%      1.00E-03    0.01020  21.13368   0.01041
 00:01:24     1/1000     val        15/19          0.2%      1.00E-03    0.01047  25.03878   0.01072
 00:01:26     1/1000    train      120/140         0.2%      1.00E-03    0.01251  23.37829   0.01275
 00:01:27     1/1000     val        17/19          0.2%      1.00E-03    0.00907  13.40550   0.00921
 00:01:28     1/1000    train      130/140         0.2%      1.00E-03    0.01056  22.47846   0.01078
training run exp-model_v1-fc-cd-vae-1e-5
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:01:31     2/1000    train        0/140         0.2%      1.00E-03    0.00991  20.48748   0.01011
 00:01:32     2/1000     val         0/19          0.2%      1.00E-03    0.01024  15.93872   0.01040
 00:01:34     2/1000    train       10/140         0.2%      1.00E-03    0.00855  20.30972   0.00876
