./train_v1.py --exp_suffix fc-cd-vae-1e-6 --data_dir ../../data/PartNetShapeData-Chair/train --val_data_dir ../../data/PartNetShapeData-Chair/val --num_point 2048 --decoder_type fc --loss_type cd --model_version model_v1 --kldiv_loss_weight 1e-6 --probabilistic --overwrite

Random Seed: 3124256514
Using device: cuda:0

[PartNetPartDataset 4489] data_dir: ../../data/PartNetShapeData-Chair/train, num_point: 2048
[PartNetPartDataset 617] data_dir: ../../data/PartNetShapeData-Chair/val, num_point: 2048
Using FCDecoder-NoBN!

Network(
  (encoder): PointNet(
    (conv1): Conv1d(3, 64, kernel_size=(1,), stride=(1,))
    (conv2): Conv1d(64, 128, kernel_size=(1,), stride=(1,))
    (conv3): Conv1d(128, 256, kernel_size=(1,), stride=(1,))
    (conv4): Conv1d(256, 1024, kernel_size=(1,), stride=(1,))
    (bn1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn2): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn3): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (bn4): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc1): Linear(in_features=1024, out_features=1024, bias=True)
    (bn5): BatchNorm1d(1024, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (fc2): Linear(in_features=1024, out_features=128, bias=True)
    (bn6): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  )
  (sample_encoder): Sampler(
    (mlp1): Linear(in_features=128, out_features=256, bias=True)
    (mlp2mu): Linear(in_features=256, out_features=128, bias=True)
    (mlp2var): Linear(in_features=256, out_features=128, bias=True)
  )
  (sample_decoder): SampleDecoder(
    (mlp1): Linear(in_features=128, out_features=256, bias=True)
    (mlp2): Linear(in_features=256, out_features=128, bias=True)
  )
  (decoder): FCDecoder(
    (mlp1): Linear(in_features=128, out_features=1024, bias=True)
    (mlp2): Linear(in_features=1024, out_features=1024, bias=True)
    (mlp3): Linear(in_features=1024, out_features=6144, bias=True)
  )
)

training run exp-model_v1-fc-cd-vae-1e-6
     Time    Epoch     Dataset    Iteration    Progress(%)       LR    CDLoss    KLDivLoss   TotalLoss
 00:00:01     0/1000    train        0/140         0.0%      1.00E-03    0.24006   5.38068   0.24007
Saving checkpoint ...... 
DONE
 00:00:03     0/1000     val         0/19          0.0%      1.00E-03    0.11129   0.37907   0.11129
Visualizing ...
Generating html visualization ...
DONE
 00:00:13     0/1000    train       10/140         0.0%      1.00E-03    0.01811   4.94290   0.01811
 00:00:15     0/1000     val         2/19          0.0%      1.00E-03    0.01684  26.90331   0.01687
 00:00:15     0/1000    train       20/140         0.0%      1.00E-03    0.01649   5.15756   0.01650
 00:00:20     0/1000     val         4/19          0.0%      1.00E-03    0.01512  21.95062   0.01515
 00:00:20     0/1000    train       30/140         0.0%      1.00E-03    0.01182   9.28755   0.01183
 00:00:21     0/1000    train       40/140         0.0%      1.00E-03    0.01350  12.82975   0.01351
 00:00:24     0/1000     val         6/19          0.0%      1.00E-03    0.01186  10.60319   0.01187
 00:00:24     0/1000    train       50/140         0.0%      1.00E-03    0.01166  16.84307   0.01167
 00:00:27     0/1000     val         8/19          0.0%      1.00E-03    0.01155  15.89394   0.01157
 00:00:27     0/1000    train       60/140         0.0%      1.00E-03    0.01031  21.39953   0.01033
 00:00:30     0/1000    train       70/140         0.1%      1.00E-03    0.01161  27.22555   0.01164
 00:00:31     0/1000     val        10/19          0.1%      1.00E-03    0.01083  38.77726   0.01086
 00:00:32     0/1000    train       80/140         0.1%      1.00E-03    0.00952  34.46862   0.00955
 00:00:35     0/1000     val        12/19          0.1%      1.00E-03    0.01723  35.32370   0.01726
 00:00:35     0/1000    train       90/140         0.1%      1.00E-03    0.01089  34.64237   0.01092
 00:00:37     0/1000    train      100/140         0.1%      1.00E-03    0.01164  36.97272   0.01168
 00:00:38     0/1000     val        14/19          0.1%      1.00E-03    0.01091  81.43930   0.01099
 00:00:40     0/1000    train      110/140         0.1%      1.00E-03    0.01122  47.68594   0.01126
 00:00:43     0/1000     val        16/19          0.1%      1.00E-03    0.01251  22.01791   0.01253
 00:00:43     0/1000    train      120/140         0.1%      1.00E-03    0.00988  41.52320   0.00992
 00:00:45     0/1000    train      130/140         0.1%      1.00E-03    0.00994  43.60258   0.00998
 00:00:47     0/1000     val        18/19          0.1%      1.00E-03    0.00972  82.13834   0.00980
training run exp-model_v1-fc-cd-vae-1e-6
